CSI#,,SYMBOL,EXCHANGE,NAME,POINT VALUE,CONTRACT SIZE,UNIT OF MEASURE,CURRENCY,NORMAL MONTHS,SWITCHING MONTHS,START DATE,HOURS,BIAS,,TICK SIZE,FOOTNOTE,FULL POINT VALUE
191,,NG,NYMEX,Natural Gas-Henry Hub (Floor Trading Only),10 USD,10000 mmBtu,USD / mmBtu,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19900403,09:20 - 14:30,,,0.001,,10000 USD
192,,SX,CME,S&P 100 Index,5 USD,500 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19830103,,,,0.01,,500 USD
193,,MV,KCBT,Value Line Index(Mini),1 USD,100 USD x Index,points,USD,"3,6,9,12",,19750102,08:30 - 15:15,,,0.05,,100 USD
199,,LSU,EURONEXT,Sugar #5(White) (LCE),5 USD,50 tonnes,USD / tonne,USD,"3,5,8,10,12",,19870730,09:45 - 18:30,,,0.1,,50 USD
204,,JSV,TCE,Silver-Tokyo (Day Session),300 JPY,30 kg,JPY / 10 grams,JPY,"2,4,6,8,10,12",,19840126,09:00 - 15:30,,,0.1,,3000 JPY
205,,JPL,TCE,Platinum-Tokyo (Day Session),500 JPY,500 grams,JPY / gram,JPY,"2,4,6,8,10,12",,19840126,09:00 - 15:30,,,1,,500 JPY
207,,TU2,CBT,T-Note-U.S.  2 Yr(Floor+Electronic Combined)-#382 w/o last digit,31.25 USD,200000 USD,points,USD,"3,6,9,12",,19900622,17:30 - 16:00,,,0.015625,FN207,2000 USD
209,,FFI,EURONEXT,FTSE 100 Index (LIFFE),1 GBP,10 GBP x Index,points,GBP,"3,6,9,12",,19840402,08:00 - 21:00,,,0.5,FN209,10 GBP
213,,YG,CBT,Gold (New York Based),3.32 USD,33.2 toz,USD / toz,USD,"2,4,6,8,10,12","1,3,5,9",19840613,09:00 - 14:40,,,0.1,FN213,33.2 USD
214,,SMI,EUREX,Swiss Market Index,1 CHF,10 CHF x Index,points,CHF,"3,6,9,12",,19901109,10:00 - 16:20,,,0.1,,10 CHF
224,,HU,NYMEX,Gasoline Unleaded (Floor Trading Only),4.20 USD,42000 gal,USD / gal,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19841203,09:30 - 15:10,,,0.0001,,42000 USD
225,,YT1,SFE,Australian Govt Bond 6%-(10Yr)(rounded #381),80 AUD,100000 AUD,percent,AUD,"3,6,9,12",,19841205,08:30 - 16:30,,,0.01,FN225,8000 AUD
228,,YBA,SFE,Australian Bank Bills (90 day),24 AUD,1000000 AUD,AUD / basis point,AUD,"3,6,9,12",,19800102,08:30 - 16:30,,,0.01,,2400 AUD
230,,YIX,SFE,Australian Share Price Index,2.50 AUD,25 AUD x Index,points,AUD,"3,6,9,12",,19830216,09:50 - 16:30,,,0.1,FN230,25 AUD
231,,YTT,SFE,Australian Govt Bond 6%(3Yr),2.8 AUD,100000 AUD,percent,AUD,"3,6,9,12",,19880517,08:30 - 16:30,,,0.005,FN231,2800 AUD
232,,YAP,SFE,SPI 200 Index(Floor Trading Only),2.5 AUD,25 AUD x Index,points,AUD,"3,6,9,12",,19830216,09:50 - 16:30,,,1,,25 AUD
236,,NW,MGE,Wheat-Winter,6.25 USD,5000 bu,0.01 USD / bu,USD,"3,5,7,9,12",,19840910,10:30 - 14:15,,,0.25,,50 USD
237,,JRB,TGE,Azuki Beans-Red,800 JPY,2400 kg,JPY / 30 kg,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,19840910,09:00 - 15:30,,,1,FN237,800 JPY
239,,JAS,TGE,Soybeans-Imported U.S.,500 JPY,50 tonnes,JPY / tonne,JPY,"2,4,6,8,10,12",,19840910,10:00 - 14:30,,,1,FN239,500 JPY
241,,JSG,TGE,Sugar-Raw,50 JPY,50 tonnes,JPY / tonne,JPY,"1,3,5,7,9,11",,19840910,09:00 - 15:30,,,10,FN241,50 JPY
244,,SED,SGX,Eurodollar(3Mth) (SIMEX),2.50 USD,1000000 USD,USD / basis point,USD,"1,3,6,7,9,10,12","2,4,5,8,11",19840907,07:45 - 19:00,,,0.0025,,2500 USD
248,,SSI,SGX,Nikkei 225 Index(Combined) (SIMEX),500 JPY,500 JPY x Index,points,JPY,"3,6,9,12","1,2,4,5,7,8,10,11",19840104,15:00 - 14:25,,,1,,500 JPY
249,,SEY,SGX,Euroyen-3Mth  (SIMEX),250 JPY,100000000 JPY,JPY / basis point,JPY,"3,6,9,12",,19891027,07:43 - 19:05,,,0.005,,250000 JPY
250,,TY2,CBT,T-Note-U.S. 10 Yr  (Floor Trading Only),15.625 USD,100000 USD,points,USD,"3,6,9,12",,19820503,08:20 - 15:00,,,0.015625,FN250,1000 USD
251,,FV,CBT,T-Note-U.S. 5 Yr (Floor+Electronic Combined),3.125 USD,100000 USD,points,USD,"3,6,9,12",,19880520,08:20 - 15:00,,,0.0078125,FN251,1000 USD
255,,JNI,OSE,Nikkei 225 Index  (Combined),1000 JPY,1000 JPY x Index,points,JPY,"3,6,9,12",,19880903,09:00 - 15:00,,,1,,1000 JPY
258,,BC,CME,Major Market Index (Floor Trading Only),5 USD,500 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19850806,09:15 - 16:15,,,0.05,FN258,500 USD
262,,JY2,CME,Japanese Yen (Floor Trading Only),12.50 USD,12500000 JPY,USD / 100 JPY,USD,"3,6,9,12",,19720516,07:20 - 14:00,,,0.0001,FN262,125000 USD
263,,DX,FINEX,U.S. Dollar Index,1 USD,1000 USD x Index,points,USD,"3,6,9,12",,19710104,08:00 - 13:00,,,0.005,FN263,1000 USD
264,,EU,FINEX,Euro,2 USD,200000 EUR,USD,USD,"3,6,9,12",,19860107,20:00 - 15:00,,,0.00005,,200000 USD
265,,AD2,CME,Australian Dollar (Floor Trading Only),10 USD,100000 AUD,USD,USD,"3,6,9,12",,19861125,07:20 - 14:00,,,0.0001,,100000 USD
266,,GI,CME,Goldman Sachs Commodity,2.50 USD,250 USD x Index,points,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19691231,09:15 - 15:15,,,0.05,FN266,250 USD
269,,ED2,CME,Eurodollar-3 Mth (Floor Trading Only),2.5 USD,1000000 USD,USD / basis point,USD,"1,3,4,6,7,8,9,11,12","2,5,10",19811209,07:20 - 14:00,,,0.0025,,2500 USD
270,,EM2,CME,LIBOR (Floor Trading Only),2.50 USD,3000000 USD,USD / basis point,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19900326,07:20 - 14:00,,,0.0025,,2500 USD
278,,MP2,CME,Mexican Peso  (Floor Trading Only),5 USD,500000 MXN,USD,USD,"1,3,6,9,12","4,5,8,11",19950425,07:20 - 14:00,,,0.000025,,500000 USD
290,,SP2,CME,S&P 500 (Floor+Electronic Combined),2.5 USD,250 USD x Index,points,USD,"3,6,9,12",,19500103,09:30 - 16:15,,,0.05,,250 USD
293,,FV2,CBT,T-Note-U.S.  5 Yr (Floor Trading Only),3.125 USD,100000 USD,points,USD,"3,6,9,12",,19880520,07:20 - 14:00,,,0.0078125,FN293,1000 USD
298,,MFF,MEFF,Spanish Govt Bond(10Yr),10 EUR,100000 EUR,percent,EUR,"3,6,9,12",,19920410,09:00 - 17:15,,,0.01,,1000 EUR
299,,CON,EUREX,Swiss Govt Bond(10Yr) (SOFFEX),10 CHF,100000 CHF,percent,CHF,"3,6,9,12",,19920529,08:30 - 17:00,,,0.01,,1000 CHF
304,,NGL,ICE,Natural Gas (National Balancing Point) (IPE),0.30 GBP,1000 Therm / Day,0.01 GBP / Therm,GBP,"1,2,3,4,5,6,7,8,9,10,11,12",,19970131,08:00 - 17:00,,,0.001,,300 GBP
305,,KLB,MDEX,KLIBOR (3 Mth),25 MYR,1000000 MYR,points,MYR,"3,6,9,12","1,2,4,5,7,8,10,11",19970219,09:00 - 17:00,,,0.01,,2500 MYR
307,,HTX,OTOB,Hungarian Stock Index,0.50 USD,5 USD x Index,percent,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19941230,,,,0.01,,50 USD
310,,JRU,TCE,Rubber (Day Session),500 JPY,5000 kg,JPY / kg,JPY,"1,2,3,4,5,6,7,8,9,10,11,12",,19920106,09:00 - 15:30,,,0.1,FN310,5000 JPY
311,,JPA,TCE,Palladium (Day Session),500 JPY,500 gram,JPY / gram,JPY,"2,4,6,8,10,12",,19920803,09:00 - 15:30,,,1,FN311,500 JPY
312,,JCR,TGE,Corn,500 JPY,50 tonnes,JPY / tonne,JPY,"1,3,5,7,9,11",,19920812,09:00 - 15:30,,,1,,500 JPY
316,,NBB,SFE,New Zealand Bank Bills(90 Day) (NZFE),24 NZD,1000000 NZD,NZD / basis point,NZD,"3,6,9,12",,19920918,17:40 - 16:30,,,0.01,,2400 NZD
318,,KPO,MDEX,Palm Oil-Crude,25 MYR,25 tonnes,MYR / tonne,MYR,"1,2,3,4,5,6,7,8,9,10,11,12",,19921012,10:30 - 18:00,,,1,,25 MYR
320,,AEX,EOE,EOE Index(Amsterdam),2 EUR,Euro 200 x Index,points,EUR,"1,2,3,4,5,6,7,8,9,10,11,12",,19921012,09:45 - 16:30,,,0.01,,200 EUR
326,,ATX,OTOB,Austrian Trade Index,1 EUR,10 EUR x Index,points,EUR,"1,2,3,4,5,6,7,8,9,10,11,12",,19921111,10:30 - 14:00,,,0.01,,100 EUR
329,,KFX,FUTOP,KFX Index,100 DKK,10000 DKK x Index,points,DKK,"1,2,3,4,5,6,7,8,9,10,11,12",,19930126,09:00 - 15:30,,,0.05,FN329,10000 DKK
330,,SHK,SGX,Hong Kong Index (SIMEX),5 USD,5 USD x Index,points,USD,"3,6,9,12",,19981123,09:45 - 16:15,,,1,,5 USD
331,,MFX,MEFF,IBEX 35 Index,1 EUR,10 EUR x Index,points,EUR,"1,2,3,4,5,6,7,8,9,10,11,12",,19920420,09:00 - 17:35,,,0.5,,10 EUR
332,,NGV,SFE,New Zealand Govt Stock(3 Yr) (NZFE),10 NZD,100000 NZD,percent,NZD,"3,6,9,12",,19930610,17:40 - 16:30,,,0.01,,1000 NZD
333,,NGB,SFE,New Zealand Govt Stock(10Yr) (NZFE),10 NZD,100000 NZD,percent,NZD,"3,6,9,12",,19930610,17:40 - 16:30,,,0.01,,1000 NZD
337,,SJB,SGX,Japanese Govt Bond 10Yr Mini (Evening+Day Combined) (SIMEX),1000 JPY,10000000 JPY,percent,JPY,"3,6,9,12",,19931001,18:30 - 17:15,,,0.01,FN337,100000 JPY
338,,OBX,OSLO,OBX Index,10 NOK,100 NOK x Index,points,NOK,"1,2,3,4,5,6,7,8,9,10,11,12",,19930917,,,,0.05,,1000 NOK
342,,BFX,EURONEXT,Belgian 20 Index  (BELFOX),2 EUR,20 EUR x Index,points,EUR,"1,2,3,4,5,6,7,8,9,10,11,12",,19931029,09:00 - 16:00,,,0.1,,20 EUR
346,,JNW,OSE,Nikkei 300 Index  (Floor+Evening Combined),1000 JPY,10000 JPY x Index,points,JPY,"3,6,9,12",,19940209,09:00 - 16:30,,,0.1,,10000 JPY
347,,FMC,EURONEXT,FTSE 250 Index (LIFFE),10 GBP,100 GBP x Index,points,GBP,"3,6,9,12",,19940225,04:05 - 11:05,,,0.5,,100 GBP
355,,BR,CME,Brazilian Real,10 USD,100000 BRL,USD,USD,"3,6,9,12","1,2,4,5,7,8,10,11",19951101,07:20 - 14:00,,,0.0001,,100000 USD
358,,COM,EURONEXT,Rapeseed-Euro (MATIF),5 EUR,50 tonnes,EUR / tonne,EUR,"2,4,5,6,8,11",,19941028,10:45 - 19:00,,,0.25,,50 EUR
361,,YF,FINEX,Swiss Franc/USD,2 CHF,200000 CHF,CHF,CHF,"3,6,9,12",,19960209,19:00 - 15:00,,,0.00005,,200000 CHF
363,,YP,FINEX,U.S. Dollar/British Pound,1.250 USD,125000 GBP,USD,USD,"3,6,9,12",,19960209,19:00 - 15:00,,,0.00005,,125000 USD
364,,YY,FINEX,Japanese Yen/USD,200 JPY,200000 JPY,JPY,JPY,"3,6,9,12",,19960209,19:00 - 15:00,,,0.005,,200000 JPY
372,,ZR,FINEX,South African Rand,1 ZAR,100000 ZAR,ZAR,ZAR,"3,6,9,12",,19970403,19:00 - 15:00,,,0.00005,,100000 ZAR
373,,SS,FINEX,British Pound/Swiss Franc,1.250 CHF,125000 GBP,CHF,CHF,"3,6,9,12",,19970418,19:00 - 15:00,,,0.00005,,125000 CHF
374,,SY,FINEX,British Pound/Japanese Yen,125 JPY,125000 GBP,JPY,JPY,"3,6,9,12",,19970418,19:00 - 15:00,,,0.005,,125000 JPY
